"0","#| label: fig-c1-warmth"
"0",""
"0","c1_warmth <- c1_asp_or %>% filter(predictor_var == ""parentwarmth"")"
"0",""
"0","ref_sig <- c1_pairsasp %>%"
"0","  filter(predictor == ""parentwarmth"","
"0","         clustera == 1 | clusterb == 1,"
"0","         sig == TRUE) %>%"
"0","  mutate(other = ifelse(clustera == 1, clusterb, clustera)) %>%"
"0","  pull(other)                          # cluster numbers sig different from C1"
"0",""
"0","other_sig <- c1_pairsasp %>%"
"0","  filter(predictor == ""parentwarmth"","
"0","         clustera != 1, clusterb != 1,"
"0","         sig == TRUE) %>%"
"0","  mutate(pair = paste0(""C"", clustera, "" vs. C"", clusterb)) %>%"
"0","  pull(pair)                           # non-reference sig pairs for caption"
"0",""
"0","c1_warmth <- c1_warmth %>%"
"0","  mutate("
"0","    ast_label = ifelse(as.integer(cluster) %in% ref_sig, ""*"", """"),"
"0","    ast_y     = OR + max(OR) * ast_nudge_pct"
"0","  )"
"0",""
"0","plot_title   <- ""Parental Warmth"""
"0","x_label      <- ""Reference: C1"""
"0","y_label      <- y_lab    # from formatting chunk"
"0","fig_caption  <- if (length(other_sig) > 0) { "
"0","                  paste0(""Additional significant pairwise differences after BH correction (FDR < .05): "","
"0","                         paste(other_sig, collapse = ""; ""), ""."")"
"0","              }  else {"
"0","                  ""No additional pairwise differences were significant after BH correction."""
"0"," }"
"0","p <- ggplot(c1_warmth, aes(x = cluster, y = OR, fill = cluster)) +"
"0","  geom_col(width = bar_width, alpha = bar_alpha,"
"0","            linewidth = bar_outline_lwd) +"
"0","  geom_hline(yintercept = 1, color = ref_line_color,"
"0","             linewidth = ref_line_lwd, linetype = ref_line_type) +"
"0","  geom_text(aes(y = OR, label = round(OR, 2)),"
"0","            color = or_label_color, size = or_label_size, vjust = or_label_vjust) +"
"0","  geom_text(aes(y = ast_y, label = ast_label),"
"0","            size = ast_text_size, vjust = 0.5) +"
"0","  scale_fill_manual(values = cluster_colors) +"
"0","  scale_y_continuous(expand = expansion(mult = c(0, 0.18)),"
"0","                     labels = number_format(accuracy = 0.1)) +"
"0","  labs(title = plot_title, x = x_label, y = y_label, caption = fig_caption) +"
"0","  or_theme"
"0",""
"0",""
"0","ggsave(file.path(fig_asp_or_c1, ""warmth_OR_C1.png""),"
"0","      plot = p, width = 14, height = 8, dpi = fig_dpi, units = ""in"")"
